Categoria,Puntos,Pregunta_ES,Correcta_ES,Opcion1_ES,Opcion2_ES,Opcion3_ES,Opcion4_ES,Referencia_ES,Pregunta_EN,Correcta_EN,Option1_EN,Option2_EN,Option3_EN,Option4_EN,Reference_EN,Pergunta_PT,Correta_PT,Opcao1_PT,Opcao2_PT,Opcao3_PT,Opcao4_PT,Referencia_PT
Evangelios,100,¿Qué evangelio comienza con “En el principio era el Verbo”?,Juan,Juan,Mateo,Marcos,Lucas,Juan 1:1,Which Gospel begins with “In the beginning was the Word”?,John,John,Matthew,Mark,Luke,John 1:1,Que evangelho começa com “No princípio era o Verbo”?,João,João,Mateus,Marcos,Lucas,João 1:1
Evangelios,100,¿En qué evangelio aparece la parábola del buen samaritano?,Lucas,Lucas,Mateo,Marcos,Juan,Lucas 10:30-37,In which Gospel is the parable of the Good Samaritan?,Luke,Luke,Matthew,Mark,John,Luke 10:30-37,Em qual evangelho aparece a parábola do bom samaritano?,Lucas,Lucas,Mateus,Marcos,João,Lucas 10:30-37
Evangelios,100,¿Qué evangelio no incluye parábolas largas y se enfoca en acciones rápidas?,Marcos,Marcos,Mateo,Lucas,Juan,Marcos 1:10-12,Which Gospel tends to be concise and action-focused?,Mark,Mark,Matthew,Luke,John,Mark 1:10-12,Que evangelho é mais conciso e focado em ações rápidas?,Marcos,Marcos,Mateus,Lucas,João,Marcos 1:10-12
Evangelios,100,¿Quién negó a Jesús tres veces según los evangelios?,Pedro,Pedro,Juan,Tomás,Felipe,Mateo 26:69-75,Who denied Jesus three times according to the Gospels?,Peter,Peter,John,Thomas,Philip,Matthew 26:69-75,Quem negou Jesus três vezes segundo os evangelhos?,Pedro,Pedro,João,Tomé,Filipe,Mateus 26:69-75
Evangelios,100,¿Qué discípulo dudó de la resurrección hasta ver a Jesús?,Tomás,Tomás,Andrés,Santiago,Bartolomé,Juan 20:24-29,Which disciple doubted the resurrection until he saw Jesus?,Thomas,Thomas,Andrew,James,Bartholomew,John 20:24-29,Que discípulo duvidou da ressurreição até ver Jesus?,Tomé,Tomé,André,Tiago,Bartolomeu,João 20:24-29
Evangelios,100,¿En qué evangelio se registra el Sermón del Monte?,Mateo,Mateo,Marcos,Lucas,Juan,Mateo 5:1-2,In which Gospel is the Sermon on the Mount recorded?,Matthew,Matthew,Mark,Luke,John,Matthew 5:1-2,Em qual evangelho está registrado o Sermão do Monte?,Mateus,Mateus,Marcos,Lucas,João,Mateus 5:1-2
Evangelios,100,¿Qué evangelio incluye el cántico de María (Magnificat)?,Lucas,Lucas,Mateo,Marcos,Juan,Lucas 1:46-47,Which Gospel includes Mary’s song (the Magnificat)?,Luke,Luke,Matthew,Mark,John,Luke 1:46-47,Que evangelho inclui o cântico de Maria (Magnificat)?,Lucas,Lucas,Mateus,Marcos,João,Lucas 1:46-47
Evangelios,100,¿Qué evangelio relata la resurrección de Lázaro?,Juan,Juan,Mateo,Marcos,Lucas,Juan 11:43-44,Which Gospel tells of the raising of Lazarus?,John,John,Matthew,Mark,Luke,John 11:43-44,Que evangelho relata a ressurreição de Lázaro?,João,João,Mateus,Marcos,Lucas,João 11:43-44
Evangelios,100,¿En qué evangelio se menciona la “Gran Comisión” (Id y haced discípulos)?,Mateo,Mateo,Marcos,Lucas,Juan,Mateo 28:19-20,In which Gospel is the “Great Commission” (Go and make disciples) found?,Matthew,Matthew,Mark,Luke,John,Matthew 28:19-20,Em qual evangelho está a “Grande Comissão” (Ide e fazei discípulos)?,Mateus,Mateus,Marcos,Lucas,João,Mateus 28:19-20
Apocalipsis,100,¿Quién recibió la revelación de Jesucristo en la isla de Patmos?,Juan,Juan,Pedro,Pablo,Santiago,Apocalipsis 1:9-10,Who received the revelation of Jesus Christ on the island of Patmos?,John,John,Peter,Paul,James,Revelation 1:9-10,Quem recebeu a revelação de Jesus Cristo na ilha de Patmos?,João,João,Pedro,Paulo,Tiago,Apocalipse 1:9-10
Apocalipsis,100,¿A cuántas iglesias se dirige el mensaje en Apocalipsis?,Siete,Siete,Doce,Tres,Diez,Apocalipsis 1:11,To how many churches is the message addressed in Revelation?,Seven,Seven,Twelve,Three,Ten,Revelation 1:11,A quantas igrejas a mensagem é dirigida em Apocalipse?,Sete,Sete,Doze,Três,Dez,Apocalipse 1:11
Apocalipsis,100,¿Qué objeto tenía siete sellos?,Un rollo (libro),Un rollo (libro),Un candelabro,Una espada,Una copa,Apocalipsis 5:1,What item had seven seals?,A scroll (book),A scroll (book),A lampstand,A sword,A bowl,Revelation 5:1,Que objeto tinha sete selos?,Um livro (rolo),Um livro (rolo),Um candelabro,Uma espada,Uma taça,Apocalipse 5:1
Apocalipsis,100,¿Quién es digno de abrir el rollo y sus sellos?,El Cordero,El Cordero,El dragón,Un ángel,El anticristo,Apocalipsis 5:9,Who is worthy to open the scroll and its seals?,The Lamb,The Lamb,The dragon,An angel,The antichrist,Revelation 5:9,Quem é digno de abrir o livro e seus selos?,O Cordeiro,O Cordeiro,O dragão,Um anjo,O anticristo,Apocalipse 5:9
Apocalipsis,100,¿Cuántos jinetes aparecen con los primeros cuatro sellos?,Cuatro,Cuatro,Siete,Doce,Dos,Apocalipsis 6:1-8,How many horsemen appear with the first four seals?,Four,Four,Seven,Twelve,Two,Revelation 6:1-8,Quantos cavaleiros aparecem com os quatro primeiros selos?,Quatro,Quatro,Sete,Doze,Dois,Apocalipse 6:1-8
Apocalipsis,100,¿Qué número se asocia a “la bestia”?,666,666,777,12,40,Apocalipsis 13:18,What number is associated with “the beast”?,666,666,777,12,40,Revelation 13:18,Que número é associado à “besta”?,666,666,777,12,40,Apocalipse 13:18
Apocalipsis,100,¿Qué cae del cielo y se llama “Babilonia la grande”?,Una ciudad simbólica (Babilonia),Una ciudad simbólica (Babilonia),Un monte,Un río,Un templo,Apocalipsis 18:2,What is called “Babylon the Great” and is judged?,A symbolic city (Babylon),A symbolic city (Babylon),A mountain,A river,A temple,Revelation 18:2,"O que é chamado de “Babilônia, a grande” e é julgada?",Uma cidade simbólica (Babilônia),Uma cidade simbólica (Babilônia),Um monte,Um rio,Um templo,Apocalipse 18:2
Apocalipsis,100,"¿Cómo se describe la ciudad santa, la Nueva Jerusalén?",Como una novia ataviada,Como una novia ataviada,Como un desierto,Como un mar,Como una torre,Apocalipsis 21:2,"How is the holy city, the New Jerusalem, described?",Like a bride adorned,Like a bride adorned,Like a desert,Like a sea,Like a tower,Revelation 21:2,"Como a cidade santa, a Nova Jerusalém, é descrita?",Como uma noiva adornada,Como uma noiva adornada,Como um deserto,Como um mar,Como uma torre,Apocalipse 21:2
Apocalipsis,100,¿Qué habrá en el cielo nuevo y la tierra nueva respecto al mar?,Ya no habrá mar,Ya no habrá mar,Habrá más mares,El mar será rojo,El mar se congelará,Apocalipsis 21:1,What will be true about the sea in the new heaven and new earth?,There will be no more sea,There will be no more sea,There will be more seas,The sea will be red,The sea will freeze,Revelation 21:1,O que será verdade sobre o mar no novo céu e na nova terra?,Não haverá mais mar,Não haverá mais mar,Haverá mais mares,O mar será vermelho,O mar congelará,Apocalipse 21:1
Apocalipsis,100,¿Qué promesa final se repite al final del libro?,Vengo pronto,Vengo pronto,No temáis,Sed perfectos,Paz a todos,Apocalipsis 22:20,What final promise is repeated at the end of the book?,I am coming soon,I am coming soon,Do not fear,Be perfect,Peace to all,Revelation 22:20,Que promessa final se repete no fim do livro?,Venho em breve,Venho em breve,Não temais,Sede perfeitos,Paz a todos,Apocalipse 22:20
Reyes,100,¿Quién fue el primer rey de Israel?,Saúl,Saúl,David,Salomón,Samuel,1 Samuel 10:1,Who was the first king of Israel?,Saul,Saul,David,Solomon,Samuel,1 Samuel 10:1,Quem foi o primeiro rei de Israel?,Saul,Saul,Davi,Salomão,Samuel,1 Samuel 10:1
Reyes,100,¿Qué rey pidió sabiduría a Dios?,Salomón,Salomón,Saúl,Roboam,Acab,1 Reyes 3:9,Which king asked God for wisdom?,Solomon,Solomon,Saul,Rehoboam,Ahab,1 Kings 3:9,Que rei pediu sabedoria a Deus?,Salomão,Salomão,Saul,Roboão,Acabe,1 Reis 3:9
Reyes,100,¿Qué rey fue conocido como “un hombre conforme al corazón de Dios”?,David,David,Ezequías,Josías,Jeroboam,Hechos 13:22,Which king was called “a man after God’s own heart”?,David,David,Hezekiah,Josiah,Jeroboam,Acts 13:22,Que rei foi chamado de “homem segundo o coração de Deus”?,Davi,Davi,Ezequias,Josias,Jeroboão,Atos 13:22
Reyes,100,¿Qué rey construyó el primer templo en Jerusalén?,Salomón,Salomón,David,Saúl,Asa,1 Reyes 6:1,Which king built the first temple in Jerusalem?,Solomon,Solomon,David,Saul,Asa,1 Kings 6:1,Que rei construiu o primeiro templo em Jerusalém?,Salomão,Salomão,Davi,Saul,Asa,1 Reis 6:1
Reyes,100,¿Qué rey mostró orgullo y fue castigado con lepra?,Uzías,Uzías,Ezequías,Manasés,Josafat,2 Crónicas 26:19-21,Which king became proud and was punished with leprosy?,Uzziah,Uzziah,Hezekiah,Manasseh,Jehoshaphat,2 Chronicles 26:19-21,Que rei se tornou orgulhoso e foi castigado com lepra?,Uzias,Uzias,Ezequias,Manassés,Josafá,2 Crônicas 26:19-21
Reyes,100,¿Qué rey halló el “libro de la ley” durante reparaciones del templo?,Josías,Josías,Ezequías,David,Saúl,2 Reyes 22:8,Which king found the “Book of the Law” during temple repairs?,Josiah,Josiah,Hezekiah,David,Saul,2 Kings 22:8,Que rei encontrou o “Livro da Lei” durante reparos no templo?,Josias,Josias,Ezequias,Davi,Saul,2 Reis 22:8
Reyes,100,¿Qué rey fue lanzado al foso de los leones?,"Ninguno (fue Daniel, no rey)","Ninguno (fue Daniel, no rey)",Darío,Nabucodonosor,Ciro,Daniel 6:16,Which king was thrown into the lions’ den?,"None (it was Daniel, not a king of Israel)","None (it was Daniel, not a king of Israel)",Darius,Nebuchadnezzar,Cyrus,Daniel 6:16,Que rei foi lançado na cova dos leões?,"Nenhum (foi Daniel, não rei de Israel)","Nenhum (foi Daniel, não rei de Israel)",Dario,Nabucodonosor,Ciro,Daniel 6:16
Reyes,100,"¿Qué rey de Judá tuvo un reinado largo y comenzó bien, pero se desvió al final?",Salomón,Salomón,Joás,Ezequías,Abdías,1 Reyes 11:4,Which king began well but turned away later in life?,Solomon,Solomon,Joash,Hezekiah,Obadiah,1 Kings 11:4,Que rei começou bem mas se desviou no fim da vida?,Salomão,Salomão,Joás,Ezequias,Obadias,1 Reis 11:4
Reyes,100,¿Qué rey de Judá enfrentó la invasión asiria y oró por liberación?,Ezequías,Ezequías,Acaz,Manasés,Roboam,2 Reyes 19:15,Which king of Judah faced the Assyrian invasion and prayed for deliverance?,Hezekiah,Hezekiah,Ahaz,Manasseh,Rehoboam,2 Kings 19:15,Que rei de Judá enfrentou a invasão assíria e orou por livramento?,Ezequias,Ezequias,Acaz,Manassés,Roboão,2 Reis 19:15
Reyes,100,¿Qué rey de Israel mandó hacer dos becerros de oro para adoración?,Jeroboam,Jeroboam,Saúl,David,Salomón,1 Reyes 12:28,Which king set up two golden calves for worship?,Jeroboam,Jeroboam,Saul,David,Solomon,1 Kings 12:28,Que rei mandou fazer dois bezerros de ouro para adoração?,Jeroboão,Jeroboão,Saul,Davi,Salomão,1 Reis 12:28
Reyes de Israel,100,¿Qué rey de Israel se casó con Jezabel?,Acab,Acab,Jehú,Omri,Jeroboam,1 Reyes 16:31,Which king of Israel married Jezebel?,Ahab,Ahab,Jehu,Omri,Jeroboam,1 Kings 16:31,Que rei de Israel se casou com Jezabel?,Acabe,Acabe,Jeú,Onri,Jeroboão,1 Reis 16:31
Reyes de Israel,100,¿Qué rey de Israel escuchó a Elías en el monte Carmelo?,Acab,Acab,Ocozías,Joás,Manahem,1 Reyes 18:17-19,Which king of Israel heard Elijah on Mount Carmel?,Ahab,Ahab,Ahaziah,Joash,Menahem,1 Kings 18:17-19,Que rei de Israel ouviu Elias no monte Carmelo?,Acabe,Acabe,Acazias,Joás,Manaém,1 Reis 18:17-19
Reyes de Israel,100,¿Qué rey de Israel fue ungido para destruir la casa de Acab?,Jehú,Jehú,Acab,Jeroboam,Zimri,2 Reyes 9:6-7,Which king of Israel was anointed to destroy Ahab’s house?,Jehu,Jehu,Ahab,Jeroboam,Zimri,2 Kings 9:6-7,Que rei de Israel foi ungido para destruir a casa de Acabe?,Jeú,Jeú,Acabe,Jeroboão,Zinri,2 Reis 9:6-7
Reyes de Israel,100,¿Qué rey de Israel reinó solo siete días en Tirsa?,Zimri,Zimri,Omri,Baasa,Ela,1 Reyes 16:15,Which king of Israel reigned only seven days in Tirzah?,Zimri,Zimri,Omri,Baasha,Elah,1 Kings 16:15,Que rei de Israel reinou apenas sete dias em Tirza?,Zinri,Zinri,Onri,Baasa,Elá,1 Reis 16:15
Reyes de Israel,100,¿Qué rey de Israel compró el monte Samaria y allí edificó la capital?,Omri,Omri,Acab,Jehú,Jeroboam,1 Reyes 16:24,Which king of Israel bought the hill of Samaria and built the capital there?,Omri,Omri,Ahab,Jehu,Jeroboam,1 Kings 16:24,Que rei de Israel comprou o monte de Samaria e ali edificou a capital?,Onri,Onri,Acabe,Jeú,Jeroboão,1 Reis 16:24
Reyes de Israel,100,¿Qué rey de Israel tuvo un profeta que lo reprendió por tomar la viña de Nabot?,Acab,Acab,Jehú,Omri,Peka,1 Reyes 21:17-19,Which king was rebuked about taking Naboth’s vineyard?,Ahab,Ahab,Jehu,Omri,Pekah,1 Kings 21:17-19,Que rei foi repreendido por tomar a vinha de Nabote?,Acabe,Acabe,Jeú,Onri,Peca,1 Reis 21:17-19
Reyes de Israel,100,¿Qué rey de Israel “hizo lo malo” y fue castigado con lepra como general?,"Ninguno (fue Naamán, no rey)","Ninguno (fue Naamán, no rey)",Acab,Jehú,Jeroboam II,2 Reyes 5:1,Which king was punished with leprosy as a general?,"None (it was Naaman, not a king)","None (it was Naaman, not a king)",Ahab,Jehu,Jeroboam II,2 Kings 5:1,Que rei foi castigado com lepra como general?,"Nenhum (foi Naamã, não rei)","Nenhum (foi Naamã, não rei)",Acabe,Jeú,Jeroboão II,2 Reis 5:1
Reyes de Israel,100,¿Qué rey de Israel permitió que Eliseo sanara a Naamán?,Joram (Jehoram),Joram (Jehoram),Acab,Omri,Oseas,2 Reyes 5:6-7,Which king of Israel was ruling when Elisha healed Naaman?,Joram (Jehoram),Joram (Jehoram),Ahab,Omri,Hoshea,2 Kings 5:6-7,Que rei de Israel reinava quando Eliseu curou Naamã?,Jorão (Jeorão),Jorão (Jeorão),Acabe,Onri,Oséias,2 Reis 5:6-7
Reyes de Israel,100,¿Qué rey de Israel fue el último antes de la caída de Samaria?,Oseas,Oseas,Jeroboam,Jehú,Manahem,2 Reyes 17:1-6,Who was the last king of Israel before Samaria fell?,Hoshea,Hoshea,Jeroboam,Jehu,Menahem,2 Kings 17:1-6,Quem foi o último rei de Israel antes da queda de Samaria?,Oséias,Oséias,Jeroboão,Jeú,Manaém,2 Reis 17:1-6
Reyes de Israel,100,¿Qué rey de Israel reinó 41 años y fue contemporáneo del profeta Eliseo?,Joás (Jehoash),Joás (Jehoash),Jeroboam II,Acab,Peka,2 Reyes 13:10,Which king of Israel reigned 16 years and was contemporary with Elisha?,Joash (Jehoash),Joash (Jehoash),Jeroboam II,Ahab,Pekah,2 Kings 13:10,Que rei de Israel reinou 16 anos e foi contemporâneo de Eliseu?,Joás (Jeoás),Joás (Jeoás),Jeroboão II,Acabe,Peca,2 Reis 13:10
