Categoria,Puntos,Pregunta_ES,Correcta_ES,Opcion1_ES,Opcion2_ES,Opcion3_ES,Opcion4_ES,Referencia_ES,Pregunta_EN,Correcta_EN,Option1_EN,Option2_EN,Option3_EN,Option4_EN,Reference_EN,Pergunta_PT,Correta_PT,Opcao1_PT,Opcao2_PT,Opcao3_PT,Opcao4_PT,Referencia_PT
Mujeres de la Biblia,100,¿Qué mujer escondió a los espías israelitas en Jericó?,Rahab,Rahab,Débora,Ester,Dalila,Josué 2:4-6,Which woman hid the Israelite spies in Jericho?,Rahab,Rahab,Deborah,Esther,Delilah,Joshua 2:4-6,Que mulher escondeu os espias israelitas em Jericó?,Raabe,Raabe,Débora,Ester,Dalila,Josué 2:4-6
Mujeres de la Biblia,100,¿Quién fue la esposa de Abraham?,Sara,Sara,Rebeca,Raquel,Miriam,Génesis 17:15,Who was Abraham’s wife?,Sarah,Sarah,Rebekah,Rachel,Miriam,Genesis 17:15,Quem foi a esposa de Abraão?,Sara,Sara,Rebeca,Raquel,Miriã,Gênesis 17:15
Mujeres de la Biblia,100,¿Qué mujer se convirtió en estatua de sal?,La esposa de Lot,La esposa de Lot,La esposa de Noé,La esposa de Isaac,La esposa de Jacob,Génesis 19:26,Which woman became a pillar of salt?,Lot’s wife,Lot’s wife,Noah’s wife,Isaac’s wife,Jacob’s wife,Genesis 19:26,Que mulher se tornou uma estátua de sal?,A esposa de Ló,A esposa de Ló,A esposa de Noé,A esposa de Isaque,A esposa de Jacó,Gênesis 19:26
Mujeres de la Biblia,100,¿Qué mujer era conocida por sus buenas obras y fue resucitada por Pedro?,Dorcas (Tabita),Dorcas (Tabita),Priscila,Safira,Eunice,Hechos 9:36-41,Which woman was known for good works and was raised by Peter?,Dorcas (Tabitha),Dorcas (Tabitha),Priscilla,Sapphira,Eunice,Acts 9:36-41,Que mulher era conhecida por boas obras e foi ressuscitada por Pedro?,Dorcas (Tabita),Dorcas (Tabita),Priscila,Safira,Eunice,Atos 9:36-41
Mujeres de la Biblia,100,¿Cómo se llamaba la esposa de Aquila que trabajó con Pablo?,Priscila,Priscila,Lidia,Marta,María Magdalena,Hechos 18:2-3,What was the name of Aquila’s wife who worked with Paul?,Priscilla,Priscilla,Lydia,Martha,Mary Magdalene,Acts 18:2-3,Como se chamava a esposa de Áquila que trabalhou com Paulo?,Priscila,Priscila,Lídia,Marta,Maria Madalena,Atos 18:2-3
Nuevo Testamento,100,¿Quién escribió la mayoría de las cartas del Nuevo Testamento?,Pablo,Pablo,Pedro,Juan,Santiago,2 Pedro 3:15-16,Who wrote most of the New Testament letters?,Paul,Paul,Peter,John,James,2 Peter 3:15-16,Quem escreveu a maioria das cartas do Novo Testamento?,Paulo,Paulo,Pedro,João,Tiago,2 Pedro 3:15-16
Nuevo Testamento,100,¿Cómo se llama el último libro del Nuevo Testamento?,Apocalipsis,Apocalipsis,Judas,Hechos,Hebreos,Apocalipsis 1:1,What is the last book of the New Testament called?,Revelation,Revelation,Jude,Acts,Hebrews,Revelation 1:1,Como se chama o último livro do Novo Testamento?,Apocalipse,Apocalipse,Judas,Atos,Hebreus,Apocalipse 1:1
Nuevo Testamento,100,¿Quién bautizó al eunuco etíope?,Felipe,Felipe,Pedro,Pablo,Bernabé,Hechos 8:36-38,Who baptized the Ethiopian eunuch?,Philip,Philip,Peter,Paul,Barnabas,Acts 8:36-38,Quem batizou o eunuco etíope?,Filipe,Filipe,Pedro,Paulo,Barnabé,Atos 8:36-38
Nuevo Testamento,100,¿Hacia qué ciudad iba Saulo cuando una luz lo derribó?,Damasco,Damasco,Jerusalén,Roma,Éfeso,Hechos 9:3,Toward which city was Saul traveling when a light struck him down?,Damascus,Damascus,Jerusalem,Rome,Ephesus,Acts 9:3,Para qual cidade Saulo viajava quando uma luz o derrubou?,Damasco,Damasco,Jerusalém,Roma,Éfeso,Atos 9:3
Nuevo Testamento,100,¿Qué carta enseña sobre “la armadura de Dios”?,Efesios,Efesios,Gálatas,Colosenses,Filemón,Efesios 6:11,Which letter teaches about “the armor of God”?,Ephesians,Ephesians,Galatians,Colossians,Philemon,Ephesians 6:11,Que carta ensina sobre “a armadura de Deus”?,Efésios,Efésios,Gálatas,Colossenses,Filemom,Efésios 6:11
Nuevo Testamento,100,¿Qué libro dice: “La fe sin obras es muerta”?,Santiago,Santiago,Romanos,Hebreos,1 Juan,Santiago 2:17,Which book says: “Faith without works is dead”?,James,James,Romans,Hebrews,1 John,James 2:17,Que livro diz: “A fé sem obras é morta”?,Tiago,Tiago,Romanos,Hebreus,1 João,Tiago 2:17
Nuevo Testamento,100,¿Quién escribió el libro de Hechos?,Lucas,Lucas,Marcos,Mateo,Juan,Hechos 1:1,Who wrote the book of Acts?,Luke,Luke,Mark,Matthew,John,Acts 1:1,Quem escreveu o livro de Atos?,Lucas,Lucas,Marcos,Mateus,João,Atos 1:1
Nuevo Testamento,100,¿Qué apóstol escribió a “los expatriados” o “dispersos”?,Pedro,Pedro,Pablo,Juan,Tomás,1 Pedro 1:1,Which apostle wrote to the “exiles” or “scattered”?,Peter,Peter,Paul,John,Thomas,1 Peter 1:1,Que apóstolo escreveu aos “forasteiros” ou “dispersos”?,Pedro,Pedro,Paulo,João,Tomé,1 Pedro 1:1
Nuevo Testamento,100,¿Qué libro habla del “Nuevo Pacto” y cita extensamente el AT?,Hebreos,Hebreos,Tito,Judas,2 Juan,Hebreos 8:6,Which book speaks of the “New Covenant” and quotes the OT extensively?,Hebrews,Hebrews,Titus,Jude,2 John,Hebrews 8:6,Que livro fala da “Nova Aliança” e cita muito o AT?,Hebreus,Hebreus,Tito,Judas,2 João,Hebreus 8:6
Nuevo Testamento,100,¿En qué evangelio aparece el “Sermón del Monte”?,Mateo,Mateo,Marcos,Lucas,Juan,Mateo 5:1-2,In which Gospel is the “Sermon on the Mount”?,Matthew,Matthew,Mark,Luke,John,Matthew 5:1-2,Em qual evangelho aparece o “Sermão do Monte”?,Mateus,Mateus,Marcos,Lucas,João,Mateus 5:1-2
Profetas,100,¿Qué profeta fue tragado por un gran pez?,Jonás,Jonás,Amós,Oseas,Miqueas,Jonás 1:17,Which prophet was swallowed by a great fish?,Jonah,Jonah,Amos,Hosea,Micah,Jonah 1:17,Que profeta foi engolido por um grande peixe?,Jonas,Jonas,Amós,Oséias,Miqueias,Jonas 1:17
Profetas,100,¿Qué profeta vio un valle de huesos secos?,Ezequiel,Ezequiel,Isaías,Jeremías,Habacuc,Ezequiel 37:1-2,Which prophet saw a valley of dry bones?,Ezekiel,Ezekiel,Isaiah,Jeremiah,Habakkuk,Ezekiel 37:1-2,Que profeta viu um vale de ossos secos?,Ezequiel,Ezequiel,Isaías,Jeremias,Habacuque,Ezequiel 37:1-2
Profetas,100,¿Qué profeta desafió a los profetas de Baal en el monte Carmelo?,Elías,Elías,Eliseo,Samuel,Natán,1 Reyes 18:20-24,Which prophet challenged the prophets of Baal on Mount Carmel?,Elijah,Elijah,Elisha,Samuel,Nathan,1 Kings 18:20-24,Que profeta desafiou os profetas de Baal no monte Carmelo?,Elias,Elias,Eliseu,Samuel,Natã,1 Reis 18:20-24
Profetas,100,¿Qué profeta es conocido como el “profeta llorón”?,Jeremías,Jeremías,Isaías,Daniel,Zacarías,Jeremías 9:1,Which prophet is known as the “weeping prophet”?,Jeremiah,Jeremiah,Isaiah,Daniel,Zechariah,Jeremiah 9:1,Que profeta é conhecido como o “profeta chorão”?,Jeremias,Jeremias,Isaías,Daniel,Zacarias,Jeremias 9:1
Profetas,100,¿Qué profeta anunció que el Mesías nacería en Belén?,Miqueas,Miqueas,Joel,Sofonías,Nahúm,Miqueas 5:2,Which prophet foretold the Messiah would be born in Bethlehem?,Micah,Micah,Joel,Zephaniah,Nahum,Micah 5:2,Que profeta anunciou que o Messias nasceria em Belém?,Miqueias,Miqueias,Joel,Sofonias,Naum,Miqueias 5:2
Profetas,100,¿Qué profeta tuvo una visión de serafines en el templo?,Isaías,Isaías,Jeremías,Amós,Abdías,Isaías 6:2-3,Which prophet saw seraphim in a temple vision?,Isaiah,Isaiah,Jeremiah,Amos,Obadiah,Isaiah 6:2-3,Que profeta viu serafins numa visão do templo?,Isaías,Isaías,Jeremias,Amós,Obadias,Isaías 6:2-3
Profetas,100,¿Qué profeta se casó con Gómer como señal a Israel?,Oseas,Oseas,Amós,Jonás,Malaquías,Oseas 1:2-3,Which prophet married Gomer as a sign to Israel?,Hosea,Hosea,Amos,Jonah,Malachi,Hosea 1:2-3,Que profeta se casou com Gômer como sinal para Israel?,Oséias,Oséias,Amós,Jonas,Malaquias,Oséias 1:2-3
Profetas,100,¿Qué profeta interpretó sueños y sirvió en Babilonia?,Daniel,Daniel,Isaías,Elías,Habacuc,Daniel 2:19,Which prophet interpreted dreams and served in Babylon?,Daniel,Daniel,Isaiah,Elijah,Habakkuk,Daniel 2:19,Que profeta interpretou sonhos e serviu na Babilônia?,Daniel,Daniel,Isaías,Elias,Habacuque,Daniel 2:19
Profetas,100,¿Qué profeta vio “ruedas” en su visión junto al río Quebar?,Ezequiel,Ezequiel,Jonás,Hageo,Zacarías,"Ezequiel 1:1,16",Which prophet saw “wheels” in his vision by the Chebar River?,Ezekiel,Ezekiel,Jonah,Haggai,Zechariah,"Ezekiel 1:1,16",Que profeta viu “rodas” em sua visão junto ao rio Quebar?,Ezequiel,Ezequiel,Jonas,Ageu,Zacarias,"Ezequiel 1:1,16"
Profetas,100,¿Qué profeta confrontó al rey David por su pecado con Betsabé?,Natán,Natán,Elías,Samuel,Gad,2 Samuel 12:7,Which prophet confronted King David over his sin with Bathsheba?,Nathan,Nathan,Elijah,Samuel,Gad,2 Samuel 12:7,Que profeta confrontou o rei Davi por seu pecado com Bate-Seba?,Natã,Natã,Elias,Samuel,Gade,2 Samuel 12:7
