Categoria,Puntos,Pregunta_ES,Correcta_ES,Opcion1_ES,Opcion2_ES,Opcion3_ES,Opcion4_ES,Referencia_ES,Pregunta_EN,Correcta_EN,Option1_EN,Option2_EN,Option3_EN,Option4_EN,Reference_EN,Pergunta_PT,Correta_PT,Opcao1_PT,Opcao2_PT,Opcao3_PT,Opcao4_PT,Referencia_PT
Génesis,100,¿Quién fue el primer hijo nacido de Adán y Eva?,Caín,Caín,Abel,Set,Enoc,Génesis 4:1,Who was the first son born to Adam and Eve?,Cain,Cain,Abel,Seth,Enoch,Genesis 4:1,Quem foi o primeiro filho de Adão e Eva?,Caim,Caim,Abel,Sete,Enoque,Gênesis 4:1
Génesis,100,¿Qué señal puso Dios para que nadie matara a Caín?,Una señal en Caín,Una señal en Caín,Un arcoíris,Un sello de oro,Una corona,Génesis 4:15,What sign did God put on Cain so no one would kill him?,A mark on Cain,A mark on Cain,A rainbow,A golden seal,A crown,Genesis 4:15,Que sinal Deus colocou em Caim para que ninguém o matasse?,Um sinal em Caim,Um sinal em Caim,Um arco-íris,Um selo de ouro,Uma coroa,Gênesis 4:15
Génesis,100,¿Qué instrumento musical se menciona entre los descendientes de Caín?,Arpa y flauta,Arpa y flauta,Trompeta y tambor,Címbalo y lira,Flauta y trombón,Génesis 4:21,Which musical instruments are mentioned among Cain's descendants?,Harp and flute,Harp and flute,Trumpet and drum,Cymbal and lyre,Flute and trombone,Genesis 4:21,Que instrumentos musicais são mencionados entre os descendentes de Caim?,Harpa e flauta,Harpa e flauta,Trombeta e tambor,Címbalo e lira,Flauta e trombone,Gênesis 4:21
Génesis,100,¿A qué edad tuvo Abraham a Isaac?,Cien años,Cien años,Setenta años,Noventa años,Cincuenta años,Génesis 21:5,How old was Abraham when Isaac was born?,One hundred years,One hundred years,Seventy years,Ninety years,Fifty years,Genesis 21:5,Com que idade Abraão teve Isaque?,Cem anos,Cem anos,Setenta anos,Noventa anos,Cinquenta anos,Gênesis 21:5
Génesis,100,¿Qué relación tenía Lot con Abraham?,Era su sobrino,Era su sobrino,Era su hermano,Era su hijo,Era su primo,Génesis 12:5,What was Lot's relationship to Abraham?,He was his nephew,He was his nephew,He was his brother,He was his son,He was his cousin,Genesis 12:5,Qual era a relação de Ló com Abraão?,Era seu sobrinho,Era seu sobrinho,Era seu irmão,Era seu filho,Era seu primo,Gênesis 12:5
Génesis,100,¿Cómo se llamó el pozo por el que Isaac discutió con los pastores de Gerar?,Esek,Esek,Beer-seba,Meribah,Siquem,Génesis 26:20,What name was given to the well over which Isaac quarreled with Gerar’s herdsmen?,Esek,Esek,Beersheba,Meribah,Shechem,Genesis 26:20,Que nome foi dado ao poço pelo qual Isaque discutiu com os pastores de Gerar?,Esequ,Esequ,Berseba,Meribá,Siquém,Gênesis 26:20
Génesis,100,¿Quién fue vendido por sus hermanos y llevado a Egipto?,José,José,Benjamín,Rubén,Judá,Génesis 37:28,Who was sold by his brothers and taken to Egypt?,Joseph,Joseph,Benjamin,Reuben,Judah,Genesis 37:28,Quem foi vendido por seus irmãos e levado ao Egito?,José,José,Benjamim,Rúben,Judá,Gênesis 37:28
Génesis,100,¿Qué soñó José acerca de las gavillas?,Que su gavilla se levantaba y las otras se inclinaban,Que su gavilla se levantaba y las otras se inclinaban,Que un río se secaba,Que el sol se apagaba,Que una torre caía,Génesis 37:7,What did Joseph dream about the sheaves?,His sheaf rose and the others bowed,His sheaf rose and the others bowed,A river dried up,The sun went out,A tower fell,Genesis 37:7,O que José sonhou sobre os feixes?,Que seu feixe se levantava e os outros se inclinavam,Que seu feixe se levantava e os outros se inclinavam,Que um rio secava,Que o sol apagava,Que uma torre caía,Gênesis 37:7
Génesis,100,¿Cuántos años vivió Matusalén?,969,969,900,777,120,Génesis 5:27,How many years did Methuselah live?,969,969,900,777,120,Genesis 5:27,Quantos anos viveu Matusalém?,969,969,900,777,120,Gênesis 5:27
Génesis,100,¿Qué señal dio Dios a Noé como pacto después del diluvio?,El arcoíris,El arcoíris,Una estrella,Un altar de piedra,Una columna de fuego,Génesis 9:13,What sign did God give Noah as a covenant after the flood?,The rainbow,The rainbow,A star,A stone altar,A pillar of fire,Genesis 9:13,Que sinal Deus deu a Noé como aliança após o dilúvio?,O arco-íris,O arco-íris,Uma estrela,Um altar de pedra,Uma coluna de fogo,Gênesis 9:13
Geografía Bíblica,100,¿Qué ciudad fue conocida como “la ciudad de las palmeras”?,Jericó,Jericó,Nazaret,Belén,Siquem,Deuteronomio 34:3,Which city was known as “the city of palm trees”?,Jericho,Jericho,Nazareth,Bethlehem,Shechem,Deuteronomy 34:3,Que cidade era conhecida como “a cidade das palmeiras”?,Jericó,Jericó,Nazaré,Belém,Siquém,Deuteronômio 34:3
Geografía Bíblica,100,¿En qué región se encontraba Nazaret?,Galilea,Galilea,Judea,Samaria,Idumea,Mateo 2:23,In which region was Nazareth located?,Galilee,Galilee,Judea,Samaria,Idumea,Matthew 2:23,Em que região ficava Nazaré?,Galileia,Galileia,Judeia,Samaria,Idumeia,Mateus 2:23
Geografía Bíblica,100,¿Qué mar está al sur de Israel y es famoso por su salinidad?,Mar Muerto,Mar Muerto,Mar Rojo,Mar de Galilea,Mar Negro,Génesis 14:3,Which sea south of Israel is famous for its salinity?,Dead Sea,Dead Sea,Red Sea,Sea of Galilee,Black Sea,Genesis 14:3,Que mar ao sul de Israel é famoso por sua salinidade?,Mar Morto,Mar Morto,Mar Vermelho,Mar da Galileia,Mar Negro,Gênesis 14:3
Geografía Bíblica,100,¿Qué río atravesaba Babilonia según la Biblia?,Éufrates,Éufrates,Jordán,Nilo,Cedrón,Jeremías 51:63,Which river ran through Babylon according to the Bible?,Euphrates,Euphrates,Jordan,Nile,Kidron,Jeremiah 51:63,Que rio atravessava Babilônia segundo a Bíblia?,Eufrates,Eufrates,Jordão,Nilo,Cedrom,Jeremias 51:63
Geografía Bíblica,100,¿Dónde se menciona que Jesús fue crucificado? (lugar),Gólgota,Gólgota,Getsemaní,Betania,Capernaúm,Juan 19:17,Where is Jesus said to have been crucified? (place),Golgotha,Golgotha,Gethsemane,Bethany,Capernaum,John 19:17,Onde é dito que Jesus foi crucificado? (lugar),Gólgota,Gólgota,Getsêmani,Betânia,Cafarnaum,João 19:17
Geografía Bíblica,100,¿Qué desierto atravesó Israel después de salir de Egipto?,Desierto de Sinaí,Desierto de Sinaí,Desierto de Judea,Desierto de Arabia,Desierto de Neguev,Éxodo 19:1-2,Which desert did Israel travel through after leaving Egypt?,Wilderness of Sinai,Wilderness of Sinai,Judean Desert,Arabian Desert,Negev Desert,Exodus 19:1-2,Que deserto Israel atravessou depois de sair do Egito?,Deserto do Sinai,Deserto do Sinai,Deserto da Judeia,Deserto da Arábia,Deserto do Neguebe,Êxodo 19:1-2
Geografía Bíblica,100,¿Qué ciudad era el principal puerto fenicio visitado por Pablo en Hechos 21?,Tiro,Tiro,Roma,Belén,Samaría,Hechos 21:3,Which Phoenician port city did Paul visit in Acts 21?,Tyre,Tyre,Rome,Bethlehem,Samaria,Acts 21:3,Que cidade portuária fenícia Paulo visitou em Atos 21?,Tiro,Tiro,Roma,Belém,Samaria,Atos 21:3
Geografía Bíblica,100,¿En qué ciudad estaba el templo de Artemisa mencionado en Hechos?,Éfeso,Éfeso,Corinto,Atenas,Antioquía,Hechos 19:27,In which city was the temple of Artemis mentioned in Acts?,Ephesus,Ephesus,Corinth,Athens,Antioch,Acts 19:27,Em que cidade estava o templo de Ártemis mencionado em Atos?,Éfeso,Éfeso,Corinto,Atenas,Antioquia,Atos 19:27
Geografía Bíblica,100,¿Qué ciudad es llamada “la ciudad del gran Rey” en los Salmos?,Jerusalén,Jerusalén,Belén,Nazaret,Damasco,Salmo 48:2,Which city is called “the city of the Great King” in Psalms?,Jerusalem,Jerusalem,Bethlehem,Nazareth,Damascus,Psalm 48:2,Que cidade é chamada “a cidade do grande Rei” nos Salmos?,Jerusalém,Jerusalém,Belém,Nazaré,Damasco,Salmo 48:2
Geografía Bíblica,100,¿Qué monte es asociado con la entrega de la Ley a Moisés?,Monte Sinaí,Monte Sinaí,Monte Carmelo,Monte Hermón,Monte de los Olivos,Éxodo 19:20,Which mountain is associated with the giving of the Law to Moses?,Mount Sinai,Mount Sinai,Mount Carmel,Mount Hermon,Mount of Olives,Exodus 19:20,Que monte está associado à entrega da Lei a Moisés?,Monte Sinai,Monte Sinai,Monte Carmelo,Monte Hermom,Monte das Oliveiras,Êxodo 19:20
Hechos,100,¿Quién fue el compañero de Pablo al inicio de su segundo viaje misionero?,Silas,Silas,Bernabé,Marcos,Felipe,Hechos 15:40,Who was Paul's companion at the start of his second missionary journey?,Silas,Silas,Barnabas,Mark,Philip,Acts 15:40,Quem foi o companheiro de Paulo no início da segunda viagem missionária?,Silas,Silas,Barnabé,Marcos,Filipe,Atos 15:40
Hechos,100,¿Qué mujer vendedora de púrpura creyó y fue bautizada en Filipos?,Lidia,Lidia,Priscila,Dorcas,María,Hechos 16:14-15,Which seller of purple believed and was baptized in Philippi?,Lydia,Lydia,Priscilla,Dorcas,Mary,Acts 16:14-15,Que vendedora de púrpura creu e foi batizada em Filipos?,Lídia,Lídia,Priscila,Dorcas,Maria,Atos 16:14-15
Hechos,100,¿Qué apóstoles dijeron: “No podemos dejar de hablar de lo que hemos visto y oído”?,Pedro y Juan,Pedro y Juan,Pablo y Bernabé,Santiago y Andrés,Tomás y Felipe,Hechos 4:20,Which apostles said: “We cannot stop speaking about what we have seen and heard”?,Peter and John,Peter and John,Paul and Barnabas,James and Andrew,Thomas and Philip,Acts 4:20,Que apóstolos disseram: “Não podemos deixar de falar do que vimos e ouvimos”?,Pedro e João,Pedro e João,Paulo e Barnabé,Tiago e André,Tomé e Filipe,Atos 4:20
Hechos,100,¿Quién murió por mentir sobre una ofrenda junto con su esposa?,Ananías,Ananías,Esteban,Simón,Félix,Hechos 5:1-5,Who died for lying about an offering along with his wife?,Ananias,Ananias,Stephen,Simon,Felix,Acts 5:1-5,Quem morreu por mentir sobre uma oferta junto com sua esposa?,Ananias,Ananias,Estêvão,Simão,Félix,Atos 5:1-5
Hechos,100,¿Cómo se llamaba la esposa de Ananías?,Safira,Safira,Lidia,Priscila,Dorcas,Hechos 5:1,What was the name of Ananias' wife?,Sapphira,Sapphira,Lydia,Priscilla,Dorcas,Acts 5:1,Como se chamava a esposa de Ananias?,Safira,Safira,Lídia,Priscila,Dorcas,Atos 5:1
Hechos,100,¿Qué apóstol tuvo una visión antes de ir a la casa de Cornelio?,Pedro,Pedro,Pablo,Juan,Santiago,Hechos 10:9-16,Which apostle had a vision before going to Cornelius' house?,Peter,Peter,Paul,John,James,Acts 10:9-16,Qual apóstolo teve uma visão antes de ir à casa de Cornélio?,Pedro,Pedro,Paulo,João,Tiago,Atos 10:9-16
Hechos,100,¿En qué ciudad predicó Pablo en el Areópago?,Atenas,Atenas,Corinto,Roma,Éfeso,Hechos 17:22,In which city did Paul preach at the Areopagus?,Athens,Athens,Corinth,Rome,Ephesus,Acts 17:22,Em que cidade Paulo pregou no Areópago?,Atenas,Atenas,Corinto,Roma,Éfeso,Atos 17:22
Hechos,100,¿Quién intentó comprar el don del Espíritu Santo?,Simón el mago,Simón el mago,Cornelio,Félix,Agripa,Hechos 8:18-19,Who tried to buy the gift of the Holy Spirit?,Simon the sorcerer,Simon the sorcerer,Cornelius,Felix,Agrippa,Acts 8:18-19,Quem tentou comprar o dom do Espírito Santo?,"Simão, o mágico","Simão, o mágico",Cornélio,Félix,Agripa,Atos 8:18-19
Hechos,100,¿Quién fue llamado “hijo de consolación” por los apóstoles?,Bernabé,Bernabé,Silas,Timoteo,Lucas,Hechos 4:36,Who was called “son of encouragement” by the apostles?,Barnabas,Barnabas,Silas,Timothy,Luke,Acts 4:36,Quem foi chamado “filho da consolação” pelos apóstolos?,Barnabé,Barnabé,Silas,Timóteo,Lucas,Atos 4:36
Hechos,100,¿Dónde fueron llamados “cristianos” por primera vez los discípulos?,Antioquía,Antioquía,Jerusalén,Roma,Damasco,Hechos 11:26,Where were the disciples first called “Christians”?,Antioch,Antioch,Jerusalem,Rome,Damascus,Acts 11:26,Onde os discípulos foram chamados “cristãos” pela primeira vez?,Antioquia,Antioquia,Jerusalém,Roma,Damasco,Atos 11:26
